case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5
case-8077,Confirmation of receipt - complete,Value24,2011/06/22 08:45:07.133,Value1,Value1,Value2,Value2,Value1
case-8077,T02 Check confirmation of receipt - complete,Value24,2011/06/22 08:45:24.919,Value1,Value1,Value2,Value2,Value2
case-8077,T04 Determine confirmation of receipt - complete,Value24,2011/06/22 08:45:44.302,Value1,Value1,Value2,Value2,Value4
case-8077,T05 Print and send confirmation of receipt - complete,Value24,2011/06/22 08:46:09.708,Value1,Value1,Value2,Value2,Value5
case-8077,T06 Determine necessity of stop advice - complete,Value24,2011/06/22 08:50:26.977,Value1,Value1,Value2,Value2,Value1
case-8077,T10 Determine necessity to stop indication - complete,Value24,2011/06/22 08:53:14.021,Value1,Value1,Value2,Value2,Value1
case-10526,Confirmation of receipt - complete,Value15,2011/11/24 15:17:03.683,Value1,Value1,Value3,Value3,Value3
case-10526,T06 Determine necessity of stop advice - complete,Value15,2011/11/24 15:17:28.049,Value1,Value1,Value3,Value3,Value1
case-10526,T02 Check confirmation of receipt - complete,Value15,2011/11/24 15:17:45.367,Value1,Value1,Value3,Value3,Value2
case-10526,T04 Determine confirmation of receipt - complete,Value15,2011/11/24 15:18:11.416,Value1,Value1,Value3,Value3,Value4
case-10526,T05 Print and send confirmation of receipt - complete,Value15,2011/11/24 15:18:29.633,Value1,Value1,Value3,Value3,Value5
case-10526,T10 Determine necessity to stop indication - complete,Value15,2011/11/24 15:18:46.116,Value1,Value1,Value3,Value3,Value1
case-7981,Confirmation of receipt - complete,Value32,2011/06/22 10:45:55.002,Value1,Value1,Value4,Value28,Value1
case-7981,T02 Check confirmation of receipt - complete,Value32,2011/06/22 11:05:52.983,Value1,Value1,Value4,Value28,Value2
case-7981,T04 Determine confirmation of receipt - complete,Value32,2011/06/22 11:06:12.747,Value1,Value1,Value4,Value28,Value4
case-7981,T06 Determine necessity of stop advice - complete,Value32,2011/06/22 11:06:35.855,Value1,Value1,Value4,Value28,Value1
case-7981,T10 Determine necessity to stop indication - complete,Value32,2011/06/22 11:08:28.812,Value1,Value1,Value4,Value28,Value1
case-7981,T05 Print and send confirmation of receipt - complete,Value12,2011/06/24 14:32:02.001,Value1,Value1,Value4,Value28,Value5
case-4057,Confirmation of receipt - complete,Value30,2010/11/03 07:29:21.044,Value4,Value1,Value4,Value24,Value1
case-4057,T06 Determine necessity of stop advice - complete,Value30,2010/11/03 07:29:43.407,Value4,Value1,Value4,Value24,Value1
case-4057,T10 Determine necessity to stop indication - complete,Value30,2010/11/03 07:34:41.207,Value4,Value1,Value4,Value24,Value1
case-4057,T02 Check confirmation of receipt - complete,Value30,2010/11/03 07:43:45.093,Value4,Value1,Value4,Value24,Value2
case-4057,T03 Adjust confirmation of receipt - complete,Value30,2010/11/03 07:52:15.597,Value4,Value1,Value4,Value24,Value1
case-4057,T02 Check confirmation of receipt - complete,Value31,2010/11/04 10:25:04.170,Value4,Value1,Value4,Value24,Value3
case-4057,T04 Determine confirmation of receipt - complete,Value2,2010/11/11 14:56:32.965,Value4,Value1,Value4,Value24,Value4
case-4057,T05 Print and send confirmation of receipt - complete,Value12,2010/11/16 10:06:20.910,Value4,Value1,Value4,Value24,Value5
case-8093,Confirmation of receipt - complete,Value24,2011/06/22 10:31:37.672,Value1,Value1,Value2,Value2,Value1
case-8093,T02 Check confirmation of receipt - complete,Value24,2011/06/22 10:32:09.283,Value1,Value1,Value2,Value2,Value2
case-8093,T04 Determine confirmation of receipt - complete,Value24,2011/06/22 10:32:41.570,Value1,Value1,Value2,Value2,Value4
case-8093,T05 Print and send confirmation of receipt - complete,Value24,2011/06/22 10:33:14.640,Value1,Value1,Value2,Value2,Value5
case-8093,T06 Determine necessity of stop advice - complete,Value24,2011/06/22 15:11:01.976,Value1,Value1,Value2,Value2,Value1
case-8093,T10 Determine necessity to stop indication - complete,Value24,2011/06/22 15:11:24.768,Value1,Value1,Value2,Value2,Value1
case-5285,Confirmation of receipt - complete,Value4,2011/01/19 10:11:57.658,Value1,Value1,Value4,Value19,Value1
case-9395,Confirmation of receipt - complete,Value5,2011/09/19 14:51:41.225,Value1,Value1,Value3,Value11,Value3
